What is depression?	Depression is a mood disorder causing persistent sadness, loss of interest, and low energy. It can be treated with therapy, medication, or lifestyle changes.
What are common anxiety symptoms?	Anxiety symptoms include restlessness, rapid heartbeat, sweating, difficulty concentrating, and excessive worry.
What should I do during a panic attack?	Try slow breathing, grounding techniques, or focusing on your senses. If attacks are frequent, consider speaking with a mental health professional.
What is therapy?	Therapy is a process where trained professionals help people work through thoughts, feelings, and behaviors using structured conversations.
What is the difference between stress and anxiety?	Stress is usually a reaction to a specific situation, while anxiety is a more constant feeling of worry or fear.
How can I help a friend who feels suicidal?	Listen calmly, show support, and encourage them to seek professional help. If there is immediate danger, call emergency services.
What is cognitive behavioral therapy?	CBT is a structured therapy that helps identify and change unhelpful thinking and behavior patterns.
What is burnout?	Burnout is emotional and physical exhaustion caused by prolonged stress, often related to work or overwhelming responsibilities.
What does a psychiatrist do?	A psychiatrist diagnoses and treats mental health conditions, often using medication alongside therapy.
What is mindfulness?	Mindfulness is the practice of focusing on the present moment without judgment, which can help reduce stress and anxiety.
How do I know if I need therapy?	If you feel persistently sad, anxious, overwhelmed, or unable to manage daily life, therapy can help.
Can mental illness be cured?	Many conditions can be managed or improved significantly with treatment, though “cure” depends on the specific illness.
What is the difference between a psychologist and psychiatrist?	Psychologists provide therapy and assessments, while psychiatrists can prescribe medication and manage treatment.
What is bipolar disorder?	Bipolar disorder involves extreme mood swings between depression and elevated moods called mania or hypomania.
Can exercise improve mental health?	Yes, regular physical activity can boost mood, reduce anxiety, and improve overall well-being.
What is PTSD?	Post-traumatic stress disorder occurs after experiencing or witnessing a traumatic event, leading to flashbacks, anxiety, and avoidance.
What are coping skills?	Coping skills are strategies like breathing exercises, journaling, or talking to someone that help manage stress and emotions.
Is medication always needed for depression?	Not always. Some people improve with therapy, lifestyle changes, or support, while others may benefit from medication.
What is self-care?	Self-care means taking deliberate actions to protect your well-being, such as rest, healthy eating, or saying no to extra stress.
How can I sleep better when stressed?	Create a calming bedtime routine, avoid screens before bed, and practice relaxation exercises.
What is social anxiety disorder?	Social anxiety disorder causes intense fear of social situations and being judged by others.
Can children have depression?	Yes, children and teens can develop depression, which may show as irritability, withdrawal, or academic decline.
What is the difference between sadness and depression?	Sadness is temporary, while depression is persistent and affects daily functioning.
What is an emotional support animal?	An ESA provides comfort to people with emotional or psychological conditions but does not have full service animal rights.
How do I stop overthinking?	Practice mindfulness, write thoughts down, and focus on problem-solving instead of rumination.
What is the role of support groups?	Support groups provide a safe space to share experiences and gain understanding from others facing similar issues.
What are healthy boundaries?	Boundaries are limits you set to protect your time, energy, and emotional well-being.
What are signs of burnout?	Exhaustion, cynicism, irritability, and reduced performance are common burnout symptoms.
What is grief?	Grief is the natural emotional response to loss, often involving sadness, anger, and confusion.
Can meditation help with anxiety?	Yes, meditation helps calm the mind, reduce stress, and improve focus when practiced regularly.
What does “grounding” mean?	Grounding techniques help bring your focus back to the present during distress, using senses or surroundings.
What is a mental health crisis?	A crisis is when someone feels unable to cope or is at risk of harming themselves or others.
What is schizophrenia?	Schizophrenia is a serious mental illness involving distorted thinking, hallucinations, and impaired daily functioning.
How do I talk to my doctor about mental health?	Be honest about your feelings, symptoms, and how they affect your life. Doctors are trained to help.
What is resilience?	Resilience is the ability to recover from stress, hardship, or trauma using coping strategies and support.
Can poor diet affect mental health?	Yes, nutrient deficiencies and poor eating habits can negatively impact mood and brain function.
How do I deal with loneliness?	Reach out to friends, join communities, volunteer, or speak to a counselor if it feels overwhelming.
What are intrusive thoughts?	Intrusive thoughts are unwanted, repetitive ideas or images that can cause distress but don’t define who you are.
What is seasonal affective disorder?	SAD is depression that occurs seasonally, often in winter due to reduced sunlight exposure.
How does journaling help mental health?	Journaling helps process emotions, reduce stress, and track patterns in mood or behavior.
What is peer counseling?	Peer counseling involves trained individuals providing support based on shared experiences, not formal therapy.
What is a mood disorder?	Mood disorders include depression, bipolar disorder, and others that affect emotional regulation.
What is self-compassion?	Self-compassion means treating yourself with kindness and understanding rather than criticism.
What are early signs of depression?	Changes in sleep, appetite, energy levels, and loss of interest in activities are common early signs.
What does “mental wellness” mean?	Mental wellness is a state of emotional balance, coping ability, and positive mental habits.
What is therapy used for?	Therapy helps people process emotions, improve coping skills, and change unhelpful behavior patterns.
How can I manage exam stress?	Plan study time, take breaks, use breathing exercises, and maintain healthy routines.
What is a safety plan?	A safety plan outlines steps and contacts to use during a mental health crisis for personal protection.
What is emotional burnout?	Emotional burnout is deep fatigue from prolonged emotional strain, often seen in caregiving or high-stress jobs.
Can pets improve mental health?	Yes, pets provide comfort, reduce stress, and can improve mood and social connection.
What is the difference between therapy and counseling?	Therapy is often long-term and in-depth, while counseling may be short-term and goal-focused.
What is a mental health screening?	A screening is a brief questionnaire or interview to check for signs of mental health conditions.
What is OCD?	Obsessive-compulsive disorder involves intrusive thoughts and repetitive behaviors performed to reduce anxiety.
How can I motivate myself when depressed?	Set small goals, reward progress, and seek support from friends or professionals.
Can lack of sleep cause anxiety?	Yes, poor sleep quality can increase stress and worsen anxiety symptoms.
What should I do if I feel anxious?	Try deep breathing, grounding exercises, or talking to someone you trust.
What can help with stress?	Consider relaxation techniques, short breaks, or physical activity.
What are some ways to handle anger?	Practice calming exercises, count to ten, or step away to cool off.
How can I sleep better when stressed?	Stick to a bedtime routine, limit screens, and try calming activities.
What do I do if I can't focus?	Take small breaks, reduce distractions, and prioritize tasks.
How do I stop overthinking?	Practice mindfulness, journaling, or shift attention to physical activity.
What helps with sadness?	Reach out to friends, engage in hobbies, or spend time outdoors.
What should I do if I feel burned out?	Take rest seriously, set boundaries, and delegate tasks if possible.
How do I manage panic attacks?	Focus on slow breathing, grounding techniques, and reassure yourself it will pass.
What can I do if I feel lonely?	Reach out to someone, join support groups, or spend time on shared activities.
What helps with nervousness?	Deep breathing, preparing in advance, or practicing self-talk.
What are good self-care practices?	Sleep well, eat balanced meals, exercise, and take time to relax.
How do I deal with work stress?	Set realistic goals, take short breaks, and discuss workload if needed.
What helps with low energy?	Regular sleep, light exercise, and healthy snacks can boost energy.
What do I do if I can't calm down?	Focus on your breathing, listen to calming music, or hold something comforting.
How can I stay positive?	Focus on small achievements, gratitude practices, and surrounding yourself with support.
What helps with nervous shaking?	Take slow breaths, relax your muscles, and sit or stand in a steady posture.
What do I do when I feel empty?	Engage in activities you enjoy, talk to someone you trust, or try journaling.
How do I stay motivated?	Set small goals, reward yourself, and remember why you started.
What are ways to reduce tension?	Gentle stretching, calming music, or stepping away briefly can help.
How do I calm racing thoughts?	Deep breathing, mindfulness meditation, or writing thoughts down.
What helps with feeling overwhelmed?	Prioritize tasks, take short breaks, and ask for support if needed.
What can I do if I'm afraid to fail?	Break tasks into steps, remind yourself that mistakes help you learn.
What do I do when I feel hopeless?	Talk to someone you trust, do an activity you enjoy, or seek support.
How do I build emotional strength?	Practice self-care, reflect on progress, and reach out for encouragement.
What helps if I wake up anxious?	Start with deep breathing, a calm routine, and avoid rushing.
